City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
354,Aksarka,RU,66.5606,67.7975,-4.95,91,100,13.87,overcast clouds
355,Oktyabrskoye,RU,43.0645,44.7417,46.54,49,0,2.24,clear sky
356,Fukuma,JP,33.7667,130.4667,59.29,50,0,4.36,clear sky
357,Aykhal,RU,66.0,111.5,-26.59,98,98,7.2,overcast clouds
358,Cidreira,BR,-30.1811,-50.2056,69.78,83,100,10.96,overcast clouds
359,Sheridan,US,44.8333,-106.9173,11.66,80,94,1.01,overcast clouds
360,La Ronge,CA,55.1001,-105.2842,-10.35,92,11,7.7,few clouds
361,Wewak,PG,-3.5534,143.6268,83.05,80,100,5.41,overcast clouds
362,Half Moon Bay,US,37.4636,-122.4286,55.87,93,90,0.0,mist
363,Palmer,US,42.1584,-72.3287,44.82,69,90,1.99,overcast clouds
364,Lensk,RU,60.7253,114.9278,-17.48,100,41,4.36,scattered clouds
365,Klaksvik,FO,62.2266,-6.589,40.12,74,100,36.24,overcast clouds
366,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.99,41,0,1.88,clear sky
367,Leningradskiy,RU,69.3833,178.4167,-2.99,95,100,24.81,light snow
368,Roald,NO,62.5833,6.1333,35.33,64,0,17.27,clear sky
369,Shingu,JP,33.7333,135.9833,57.29,88,100,8.88,overcast clouds
370,Sadon,RU,42.8518,44.0037,38.75,72,7,4.18,clear sky
371,Ayan,RU,56.45,138.1667,22.95,87,100,14.38,light snow
372,Lata,PT,40.1629,-8.3327,50.81,95,31,1.25,scattered clouds
373,Bentiu,SS,9.2333,29.8333,93.16,17,35,10.89,scattered clouds
374,Miraflores,MX,19.2167,-98.8083,57.02,71,99,1.68,overcast clouds
375,Umm Lajj,SA,25.0213,37.2685,77.25,45,8,10.33,clear sky
376,Vaitape,PF,-16.5167,-151.75,80.69,75,52,15.21,broken clouds
377,Svetlogorsk,BY,52.6333,29.7333,29.03,94,100,9.91,overcast clouds
378,Luis Correia,BR,-2.8792,-41.6669,79.59,78,37,12.55,scattered clouds
379,Adrar,MR,20.5022,-10.0711,59.86,19,100,13.02,overcast clouds
380,Arbazh,RU,57.6804,48.3065,5.56,82,12,4.29,few clouds
381,Pimenta Bueno,BR,-11.6725,-61.1936,72.32,99,100,2.28,heavy intensity rain
